,date,action
0,2021-10-25 00:13:00+00:00,[1.]
1,2021-10-25 00:14:00+00:00,[0.3219377]
2,2021-10-25 00:15:00+00:00,[1.]
3,2021-10-25 00:16:00+00:00,[0.3029136]
4,2021-10-25 00:17:00+00:00,[1.]
5,2021-10-25 00:18:00+00:00,[1.]
6,2021-10-25 00:19:00+00:00,[1.]
7,2021-10-25 00:20:00+00:00,[0.9920341]
8,2021-10-25 00:21:00+00:00,[-0.8065177]
9,2021-10-25 00:22:00+00:00,[1.]
10,2021-10-25 00:23:00+00:00,[0.7252704]
11,2021-10-25 00:24:00+00:00,[1.]
12,2021-10-25 00:25:00+00:00,[0.67374754]
13,2021-10-25 00:26:00+00:00,[-1.]
14,2021-10-25 00:27:00+00:00,[1.]
15,2021-10-25 00:28:00+00:00,[0.39411667]
16,2021-10-25 00:29:00+00:00,[-1.]
17,2021-10-25 00:30:00+00:00,[0.79021204]
18,2021-10-25 00:31:00+00:00,[0.27090162]
19,2021-10-25 00:32:00+00:00,[0.8376087]
20,2021-10-25 00:33:00+00:00,[-0.46260273]
21,2021-10-25 00:34:00+00:00,[-0.40221447]
22,2021-10-25 00:35:00+00:00,[0.8829234]
23,2021-10-25 00:36:00+00:00,[-0.6647255]
24,2021-10-25 00:37:00+00:00,[0.85277045]
25,2021-10-25 00:38:00+00:00,[0.06051505]
26,2021-10-25 00:39:00+00:00,[0.29899362]
27,2021-10-25 00:40:00+00:00,[0.82826334]
28,2021-10-25 00:41:00+00:00,[0.77505004]
29,2021-10-25 00:42:00+00:00,[0.4483598]
30,2021-10-25 00:43:00+00:00,[0.7344247]
31,2021-10-25 00:44:00+00:00,[1.]
32,2021-10-25 00:45:00+00:00,[0.36510712]
33,2021-10-25 00:46:00+00:00,[0.9799297]
34,2021-10-25 00:47:00+00:00,[0.8341532]
35,2021-10-25 00:48:00+00:00,[0.82901305]
36,2021-10-25 00:49:00+00:00,[1.]
37,2021-10-25 00:50:00+00:00,[0.11253214]
38,2021-10-25 00:51:00+00:00,[0.75186545]
39,2021-10-25 00:52:00+00:00,[1.]
40,2021-10-25 00:53:00+00:00,[0.9093199]
41,2021-10-25 00:54:00+00:00,[0.38651723]
42,2021-10-25 00:55:00+00:00,[1.]
43,2021-10-25 00:56:00+00:00,[-0.09385765]
44,2021-10-25 00:57:00+00:00,[-1.]
45,2021-10-25 00:58:00+00:00,[-0.23896664]
46,2021-10-25 00:59:00+00:00,[0.6221824]
47,2021-10-25 01:00:00+00:00,[0.05371034]
48,2021-10-25 01:01:00+00:00,[1.]
49,2021-10-25 01:02:00+00:00,[0.48181933]
50,2021-10-25 01:03:00+00:00,[1.]
51,2021-10-25 01:04:00+00:00,[-0.23993176]
52,2021-10-25 01:05:00+00:00,[0.14043948]
53,2021-10-25 01:06:00+00:00,[0.88521767]
54,2021-10-25 01:07:00+00:00,[1.]
55,2021-10-25 01:08:00+00:00,[1.]
56,2021-10-25 01:09:00+00:00,[1.]
57,2021-10-25 01:10:00+00:00,[1.]
58,2021-10-25 01:11:00+00:00,[1.]
59,2021-10-25 01:12:00+00:00,[1.]
60,2021-10-25 01:13:00+00:00,[0.54701775]
61,2021-10-25 01:14:00+00:00,[-0.04569143]
62,2021-10-25 01:15:00+00:00,[1.]
63,2021-10-25 01:16:00+00:00,[0.92648107]
64,2021-10-25 01:17:00+00:00,[1.]
65,2021-10-25 01:18:00+00:00,[-0.88171804]
66,2021-10-25 01:19:00+00:00,[-0.45982504]
67,2021-10-25 01:20:00+00:00,[1.]
68,2021-10-25 01:21:00+00:00,[1.]
