,date,action
0,2021-10-25 00:13:00+00:00,[1.]
1,2021-10-25 00:14:00+00:00,[0.03758895]
2,2021-10-25 00:15:00+00:00,[1.]
3,2021-10-25 00:16:00+00:00,[1.]
4,2021-10-25 00:17:00+00:00,[-0.8718095]
5,2021-10-25 00:18:00+00:00,[0.78063756]
6,2021-10-25 00:19:00+00:00,[1.]
7,2021-10-25 00:20:00+00:00,[0.72063196]
8,2021-10-25 00:21:00+00:00,[0.7175998]
9,2021-10-25 00:22:00+00:00,[0.38276768]
10,2021-10-25 00:23:00+00:00,[-0.9717598]
11,2021-10-25 00:24:00+00:00,[0.4274065]
12,2021-10-25 00:25:00+00:00,[1.]
13,2021-10-25 00:26:00+00:00,[1.]
14,2021-10-25 00:27:00+00:00,[-0.44084775]
15,2021-10-25 00:28:00+00:00,[0.49719474]
16,2021-10-25 00:29:00+00:00,[1.]
17,2021-10-25 00:30:00+00:00,[0.94728124]
18,2021-10-25 00:31:00+00:00,[1.]
19,2021-10-25 00:32:00+00:00,[1.]
20,2021-10-25 00:33:00+00:00,[0.33926278]
21,2021-10-25 00:34:00+00:00,[1.]
22,2021-10-25 00:35:00+00:00,[0.6928025]
23,2021-10-25 00:36:00+00:00,[0.65500116]
24,2021-10-25 00:37:00+00:00,[1.]
25,2021-10-25 00:38:00+00:00,[-0.20217133]
26,2021-10-25 00:39:00+00:00,[0.7693672]
27,2021-10-25 00:40:00+00:00,[0.9066011]
28,2021-10-25 00:41:00+00:00,[1.]
29,2021-10-25 00:42:00+00:00,[1.]
30,2021-10-25 00:43:00+00:00,[-0.13247108]
31,2021-10-25 00:44:00+00:00,[1.]
32,2021-10-25 00:45:00+00:00,[0.16052872]
33,2021-10-25 00:46:00+00:00,[1.]
34,2021-10-25 00:47:00+00:00,[1.]
35,2021-10-25 00:48:00+00:00,[1.]
36,2021-10-25 00:49:00+00:00,[0.9209446]
37,2021-10-25 00:50:00+00:00,[1.]
38,2021-10-25 00:51:00+00:00,[1.]
39,2021-10-25 00:52:00+00:00,[1.]
40,2021-10-25 00:53:00+00:00,[1.]
41,2021-10-25 00:54:00+00:00,[0.9307456]
42,2021-10-25 00:55:00+00:00,[-0.39517558]
43,2021-10-25 00:56:00+00:00,[-1.]
44,2021-10-25 00:57:00+00:00,[1.]
45,2021-10-25 00:58:00+00:00,[1.]
46,2021-10-25 00:59:00+00:00,[0.6031502]
47,2021-10-25 01:00:00+00:00,[-0.53502655]
48,2021-10-25 01:01:00+00:00,[0.900954]
49,2021-10-25 01:02:00+00:00,[1.]
50,2021-10-25 01:03:00+00:00,[1.]
51,2021-10-25 01:04:00+00:00,[1.]
52,2021-10-25 01:05:00+00:00,[0.63119614]
53,2021-10-25 01:06:00+00:00,[-1.]
54,2021-10-25 01:07:00+00:00,[-0.36504757]
55,2021-10-25 01:08:00+00:00,[-1.]
56,2021-10-25 01:09:00+00:00,[0.49654815]
57,2021-10-25 01:10:00+00:00,[1.]
58,2021-10-25 01:11:00+00:00,[-0.6003281]
59,2021-10-25 01:12:00+00:00,[-0.5491668]
60,2021-10-25 01:13:00+00:00,[1.]
61,2021-10-25 01:14:00+00:00,[1.]
62,2021-10-25 01:15:00+00:00,[1.]
63,2021-10-25 01:16:00+00:00,[-0.16314715]
64,2021-10-25 01:17:00+00:00,[0.00254214]
65,2021-10-25 01:18:00+00:00,[0.8536091]
66,2021-10-25 01:19:00+00:00,[-0.37774092]
67,2021-10-25 01:20:00+00:00,[1.]
68,2021-10-25 01:21:00+00:00,[1.]
69,2021-10-25 01:22:00+00:00,[1.]
70,2021-10-25 01:23:00+00:00,[1.]
71,2021-10-25 01:24:00+00:00,[1.]
72,2021-10-25 01:25:00+00:00,[0.09315306]
73,2021-10-25 01:26:00+00:00,[-0.01076555]
74,2021-10-25 01:27:00+00:00,[1.]
75,2021-10-25 01:28:00+00:00,[0.63496333]
76,2021-10-25 01:29:00+00:00,[1.]
77,2021-10-25 01:30:00+00:00,[1.]
78,2021-10-25 01:31:00+00:00,[1.]
79,2021-10-25 01:32:00+00:00,[0.16771406]
80,2021-10-25 01:33:00+00:00,[1.]
81,2021-10-25 01:34:00+00:00,[1.]
82,2021-10-25 01:35:00+00:00,[0.25349963]
83,2021-10-25 01:36:00+00:00,[-0.43818033]
84,2021-10-25 01:37:00+00:00,[0.4131916]
85,2021-10-25 01:38:00+00:00,[-1.]
86,2021-10-25 01:39:00+00:00,[0.8129292]
87,2021-10-25 01:40:00+00:00,[1.]
88,2021-10-25 01:41:00+00:00,[0.6252874]
89,2021-10-25 01:42:00+00:00,[1.]
90,2021-10-25 01:43:00+00:00,[1.]
91,2021-10-25 01:44:00+00:00,[0.6254238]
92,2021-10-25 01:45:00+00:00,[1.]
93,2021-10-25 01:46:00+00:00,[0.6803179]
94,2021-10-25 01:47:00+00:00,[1.]
95,2021-10-25 01:48:00+00:00,[1.]
96,2021-10-25 01:49:00+00:00,[0.21666151]
97,2021-10-25 01:50:00+00:00,[0.6579907]
98,2021-10-25 01:51:00+00:00,[-0.56839836]
99,2021-10-25 01:52:00+00:00,[0.1002019]
100,2021-10-25 01:53:00+00:00,[1.]
101,2021-10-25 01:54:00+00:00,[-1.]
102,2021-10-25 01:55:00+00:00,[1.]
103,2021-10-25 01:56:00+00:00,[0.16341692]
104,2021-10-25 01:57:00+00:00,[0.62062633]
105,2021-10-25 01:58:00+00:00,[-0.14224708]
106,2021-10-25 01:59:00+00:00,[0.38363862]
107,2021-10-25 02:00:00+00:00,[0.7379048]
108,2021-10-25 02:01:00+00:00,[-0.37685013]
109,2021-10-25 02:02:00+00:00,[1.]
110,2021-10-25 02:03:00+00:00,[0.23573983]
